der Mann ist hoch|the man is high
der Betrieb ist groß|the company is large
ein komplexes Problem|a complex problem
ein kleines Dorf|a small village
es eignet sich|it is suitable
eine Klasse besuchen|to attend a class
auf ein Thema eingehen|to discuss a topic
das Rauchen erlauben|to allow smoking
einen Ball treiben|to drive a ball
weggehen|to go away
früh aufstehen|to get up early
ein guter Absatz|a good sales
unterwegs sein|to be on the way
einen Vertrag schließen|to sign a contract
ein Ausdruck verwenden|to use an expression
in eine Situation geraten|to get into a situation
das ist toll|that is great
Schweigen im Raum|silence in the room
über ein Thema schweigen|to remain silent about a topic
die Schwester besuchen|to visit the sister
der Chef entscheidet|the boss decides
nach dem Stift greifen|to reach for the pen
ein Risiko eingehen|to take a risk
sich schwach fühlen|to feel weak
eine Tabelle erstellen|to create a table
eine Möglichkeit ermöglichen|to enable a possibility
am Freitag|on Friday
ein Hinweis geben|to give a hint
einen Vorteil haben|to have an advantage
ein Protein finden|to find a protein
hohen Gewinn machen|to make high profit
grundsätzlich richtig|fundamentally correct
im März|in March
eine Antwort wiederholen|to repeat an answer
Ruhe bitte|silence please
eine Darstellung machen|to make a presentation
ruhig bleiben|to stay calm
ruhig mal probieren|really give it a try
der Traum ist vorbei|the dream is over
einen Patienten behandeln|to treat a patient
stets freundlich|always friendly
aufhören zu reden|to stop talking
den Wald schützen|to protect the forest
ein Thema diskutieren|to discuss a topic
auf die Ferse treten|to step on the heel
der Sprecher spricht|the speaker speaks
einen Film produzieren|to produce a movie
gute Kritik|good review
erneut versuchen|to try again
ein guter Trainer|a good coach
im April|in April
eine Nachricht melden|to report a message
wiederum versuchen|to try again
ein Opfer bringen|to make a sacrifice
weit hinaus|far out
vorhandene Ressourcen|available resources
im Westen|in the west
ein Buch mit Titel|a book with a title
einen Eindruck hinterlassen|to leave an impression
der Baum steht im Wald|the tree stands in the forest
die Antwort lautet|the answer is
eine Diskussion führen|to conduct a discussion
hingegen bin ich anderer Meinung|on the other hand, I have a different opinion
der Student lernt|the student studies
die Bevölkerung wächst|the population is growing
der Finger zeigt|the finger points
das Grüne ist schön|the Greens are beautiful
total kaputt|completely broken
der Abstand ist groß|the distance is large
die Schulter tut weh|the shoulder hurts
eine Maßnahme ergreifen|to take a measure
das Band ist rot|the ribbon is red
der letzte Band|the last volume
die Band spielt|the band plays
darunter verstehe ich nichts|I don't understand anything underneath
derjenige, der gewinnt|the one who wins
der Wald ist dunkel|the forest is dark
die Insel ist klein|the island is small
der Schluss des Films|the end of the movie
anschließend gehen wir essen|afterwards we go to eat
das Volk ist freundlich|the people are friendly
kulturelle Veranstaltungen|cultural events
den Begriff definieren|to define the term
im September|in September
der Beruf des Lehrers|the profession of a teacher
ein neuer Ansatz|a new approach
nötige Mittel|necessary means
ein Land herrschen|to rule a country
ein großer Sieg|a great victory
die Küche ist sauber|the kitchen is clean
verantwortlich für die Gruppe|responsible for the group
tägliches Training|daily training
am Montag|on Monday
viel Spaß haben|to have a lot of fun
ein Produkt herstellen|to produce a product
darüber nachdenken|to think about it
im Mai|in May
das Haus umfasst viele Zimmer|the house includes many rooms
ein ernstes Problem|a serious problem
einen Roman schreiben|to write a novel
im Januar|in January
neun Jahre alt|nine years old
für seine Rechte kämpfen|to fight for one's rights
jeweilige Situation|respective situation
ein Versprechen halten|to keep a promise
die Definition lernen|to learn the definition
eine vollständige Liste|a complete list
eine Hand heben|to raise a hand
auf dem Rücken liegen|to lie on the back
lange existieren|to exist for a long time
eine Masse von Menschen|a crowd of people
ein Lied singen|to sing a song
eine Theorie entwickeln|to develop a theory
der Inhalt des Buches|the content of the book
einen Plan scheitern|to fail a plan
ein wichtiges Ereignis|an important event
lediglich eine Frage|merely a question
organische Lebensmittel|organic food
ein glücklicher Tag|a happy day
der Rest des Tages|the rest of the day
einen Wunsch äußern|to express a wish
einen Plan beschließen|to decide on a plan
ein dickes Buch|a thick book
ein riesiges Gebäude|a huge building
heutige Nachrichten|today's news
hallo, wie geht's|hello, how are you
ein Museum besuchen|to visit a museum
die Farbe ist rot|the color is red
zwölf Monate|twelve months
per Post|by mail
regelmäßige Übung|regular exercise
zehn Jahre her|ten years ago
den Kanal wechseln|to change the channel
einen Job einstellen|to employ someone
ins Theater gehen|to go to the theater
der König regiert|the king rules
ein Ohr hören|an ear hears
einen Schüler fördern|to promote a student
elektrische Geräte|electrical devices
der Aufbau der Stadt|the construction of the city
ein wichtiger Beitrag|an important contribution
im Februar|in February
ein Projekt durchführen|to conduct a project
eine Idee einfallen|to come up with an idea
sich verletzen|to injure oneself
eine Kontrolle durchführen|to conduct an inspection
die Macht haben|to have the power
eine Mannschaft bilden|to form a team
entweder ja oder nein|either yes or no
eine Meinung behaupten|to claim an opinion
Hoffnung haben|to have hope
große Verantwortung|great responsibility
laut schreien|to scream loudly
andererseits stimmt es|on the other hand, it is true
einen Freund besuchen|to visit a friend
hundert Jahre|one hundred years
eine Quelle finden|to find a source
typisch deutsch|typically German
ein großes Gebiet|a large region
die Behörde informiert|the authorities inform
am Samstag|on Saturday
eine Organisation gründen|to found an organization
eine Summe berechnen|to calculate a sum
einen Job finden|to find a job
Geld ausreichen|to be sufficient
fünf Grad|five degrees
irgendein Problem|some problem
eine Methode benutzen|to use a method
irgendwas sagen|to say something
teilweise bewölkt|partly cloudy
großes Vertrauen|great trust
jemandem vertrauen|to trust someone
zehn Jahrzehnte|ten decades
der Wind weht|the wind blows
eine unmittelbare Reaktion|an immediate reaction
ein Bund von Freunden|an alliance of friends
extrem kalt|extremely cold
ein wichtiges Merkmal|an important feature
theoretische Physik|theoretical physics
einen Fall ermitteln|to investigate a case
mein Papa|my daddy
eine Krankheit heilen|to cure an illness
eine Voraussetzung erfüllen|to fulfill a requirement
ein Tier töten|to kill an animal
einen Text formulieren|to formulate a text
eine chemische Substanz|a chemical substance
der richtige Zeitpunkt|the right moment
wenigstens einmal|at least once
einen Gang gehen|to walk a corridor
ein Politiker spricht|a politician speaks
große Unterstützung|great support
hey, was machst du|hey, what are you doing
ein Glas brechen|to break a glass
einen Ball fassen|to grasp a ball
im Zentrum|in the center
jemanden anrufen|to call someone
einen Fleck entfernen|to remove a stain
im Juni|in June
die Haut ist weich|the skin is soft
einen Traum verfolgen|to pursue a dream
gesellschaftliche Normen|social norms
Schutz bieten|to provide protection
die nächste Generation|the next generation
chinesische Kultur|Chinese culture
Chinesisch lernen|to learn Chinese
ein Zeichen geben|to give a sign
die Wahrheit sagen|to tell the truth
ein Haushalt führen|to manage a household
ein Garten anlegen|to create a garden
hinten sitzen|to sit in the back
jemandem auffallen|to notice someone
ein Gegensatz bilden|to form a contrast
Bücher verteilen|to distribute books
Papier falten|to fold paper
physikalische Gesetze|physical laws
angesichts der Lage|in view of the situation
leise sprechen|to speak quietly
vermutlich richtig|probably right
eine eindeutige Antwort|a clear answer
heraus gehen|to go outside
falls nötig|if necessary
erstmals hier|here for the first time
ein Partner finden|to find a partner
über das Problem nachdenken|to think about the problem
eine Ausbildung machen|to do training
ein neuer Wagen|a new car
ein großes Schiff|a big ship
tausend Euro|one thousand euros
eine gute Tat|a good deed
obere Etage|upper floor
eine Gleichung lösen|to solve an equation
einen Stein werfen|to throw a stone
sich kümmern|to take care of
eine mittlere Größe|a medium size
eine Hand erheben|to raise a hand
eine Erklärung geben|to give an explanation
ein Konzept entwickeln|to develop a concept
am Mittwoch|on Wednesday
jemanden stören|to disturb someone
eine Spur finden|to find a track
berliner Geschichte|history of Berlin
eine Herausforderung annehmen|to accept a challenge
ein Projekt starten|to start a project
staatliche Hilfe|government aid
einen Fehler verbessern|to correct a mistake
heißes Wetter|hot weather
die Vergangenheit ist vergangen|the past is past
das Gleichgewicht halten|to keep the balance
Griechenland besuchen|to visit Greece
ein Maß nehmen|to take a measure
eine Aufgabe abgeben|to submit a task
einen Bericht schreiben|to write a report
hohe Qualität|high quality
am Rand|at the edge
Italien besuchen|to visit Italy
der Kern der Sache|the core of the matter
im Winter|in winter
ein Foto mit Hintergrund|a photo with a background
der Osten ist schön|the east is beautiful
nach Amerika reisen|to travel to America
hier geboren|born here
gefährliche Situationen|dangerous situations
jemanden zwingen|to force someone
ein Bier trinken|to drink a beer
ein Thema ansprechen|to address a topic
eine komplette Liste|a complete list
eine Forderung stellen|to make a demand
ein Ziel gelangen|to reach a goal
eine Nachricht senden|to send a message
Briefmarken sammeln|to collect stamps
einen Antrag ablehnen|to reject an application
einen Stein stoßen|to push a stone
konstante Geschwindigkeit|constant speed
im Oktober|in October
vorsichtig umgehen|to handle carefully
das geht dich an|that concerns you
der Plan verläuft|the plan proceeds
demnach handeln|to act accordingly
ein Problem auftauchen|to appear a problem
böse Worte|bad words
eine Reaktion auslösen|to trigger a reaction
weitergehen bitte|please continue
von etwas abhängen|to depend on something
hohe Geschwindigkeit|high speed
ideale Bedingungen|ideal conditions
im Augenblick|at the moment
Kosten reduzieren|to reduce costs
eine Maschine bauen|to build a machine
eine lineare Funktion|a linear function
eine Aufgabe ausmachen|to put out a task
einer Gruppe beitreten|to join a group
kritische Fragen|critical questions
äh, ich weiß nicht|um, I don't know
ein schönes Wochenende|a nice weekend
am Donnerstag|on Thursday
die Saison beginnt|the season begins
ein Forscher entdecken|a researcher discovers
eine Firma gründen|to establish a company
offensichtliche Fehler|obvious mistakes
ein Teilchen finden|to find a particle
eine Aufgabe genügen|to be sufficient for a task
einen Wagen schieben|to push a car
einen Computer benutzen|to use a computer
ein positiver Effekt|a positive effect
Gewicht abnehmen|to lose weight
eine Verteilung machen|to make a distribution
in die Ferne blicken|to look into the distance
zum Erfolg beitragen|to contribute to success
