|part_of_speech|word_de|word_pl_de|sentence_de|word_en|sentence_en
310|adv|wohl||Wohl vorbereitet, ging er zur Prüfung.|well|Well prepared, he went to the exam.
311|part|wohl||Das wird wohl nicht leicht werden.|probably|That probably won't be easy.
312|die|die Geschichte||Die Geschichte ist spannend erzählt.|history, story|The story is told excitingly.
313|verb|erzählen, erzählt, erzählte, hat erzählt||Sie erzählt ihm eine Geschichte.|to tell|She tells him a story.
314|verb|entstehen, entsteht, entstand, ist entstanden||Neue Ideen entstehen oft spontan.|to originate, develop|New ideas often develop spontaneously.
315|adj|sicher||Der sichere Plan brachte Erfolg.|safe, secure, certain|The secure plan brought success.
316|prep|neben||Das Auto steht neben dem Haus.|next to, beside|The car is parked next to the house.
317|adv|allein, alleine||Er lebt allein in einer Wohnung.|alone|He lives alone in an apartment.
318|die|die Abbildung||Die Abbildung zeigt das Ergebnis.|illustration|The illustration shows the result.
319|prep|hinter||Der Garten liegt hinter dem Haus.|behind, in back of|The garden is behind the house.
320|adv|besonders||Er hat sich besonders viel Mühe gegeben.|particularly|He put in particularly a lot of effort.
321|verb|tragen, trägt, trug, hat getragen||Er trägt die schwere Tasche zum Auto.|to carry, wear|He carries the heavy bag to the car.
322|adv|kaum||Kaum jemand war noch anwesend.|hardly|Hardly anyone was still present.
323|der|der Freund||Mein Freund hilft mir bei allem.|friend|My friend helps me with everything.
324|num|fünf||Fünf Äpfel liegen auf dem Tisch.|five|Five apples are on the table.
325|verb|scheinen, scheint, schien, hat geschienen||Die Sonne scheint hell durch die Wolken.|to shine, seem, appear|The sun shines brightly through the clouds.
326|die|die Stunde||Die Stunde verging viel zu schnell.|hour|The hour passed far too quickly.
327|verb|aussehen, sieht aus, sah aus, hat ausgesehen||Sie sieht heute besonders müde aus.|to appear, look|She looks particularly tired today.
328|adv|gern, gerne||Ich trinke gerne Kaffee am Morgen.|(with a verb) love to|I love to drink coffee in the morning.
329|adv|überhaupt||Ich verstehe überhaupt nichts.|at all, generally|I don't understand anything at all.
330|adj|bestimmt||Ein bestimmter Termin wurde gewählt.|special, certain|A specific date was chosen.
331|conj|sowie||Er bringt Obst sowie Gemüse mit.|as well as, as soon as, plus|He is bringing fruit as well as vegetables.
332|der|der Professor||Der Professor hielt eine Vorlesung.|professor|The professor gave a lecture.
333|pron|darüber, drüber||Er sprach nicht gerne darüber.|above it, about it|He didn't like to talk about it.
334|pron|deren||Das ist das Haus, deren Dach kaputt ist.|whose|That is the house whose roof is broken.
335|verb|schaffen, schafft, schuf, hat geschaffen||Er schafft Platz für das neue Projekt.|to manage, create|He is creating space for the new project.
336|pron|damals||Damals war alles einfacher gewesen.|then|Back then, everything was simpler.
337|verb|erhalten, erhält, erhielt, hat erhalten||Ich habe deinen Brief erhalten.|to receive|I received your letter.
338|verb|lernen, lernt, lernte, hat gelernt||Sie lernt gerade für die Prüfung.|to learn|She is currently studying for the exam.
339|adj|frei||In diesem Land sind die Bürger frei.|free|In this country, citizens are free.
340|adj|wert||Das Auto ist nicht mehr viel wert.|worth|The car is no longer worth much.
341|der|der Wert||Der Wert des Hauses ist gestiegen.|value|The value of the house has increased.
342|conj|beziehungsweise, bzw.||Sie oder beziehungsweise er kommt.|or, respectively|She or respectively he is coming.
343|pron|daran, dran||Daran muss ich mich noch erinnern.|on it|I still have to remember that.
344|verb|suchen, sucht, suchte, hat gesucht||Er suchte den Schlüssel überall.|to search, look for|He searched for the key everywhere.
345|das|Europa||Europa ist kulturell vielfältig.|Europe|Europe is culturally diverse.
346|adj|gemeinsam||Wir haben ein gemeinsames Ziel.|common, mutual|We have a common goal.
347|adj|rund||Der Tisch hat eine runde Form.|round|The table has a round shape.
348|adv|rund||Rund 20 Minuten dauerte die Fahrt.|approximately|The ride lasted approximately 20 minutes.
349|die|die Zahl||Die Zahl der Besucher stieg an.|number|The number of visitors increased.
350|das|das Thema||Das Thema weckt großes Interesse.|subject, topic, theme|The topic arouses great interest.
351|verb|handeln, handelt, handelte, hat gehandelt||Er handelt mit Antiquitäten aus Europa.|to deal, trade|He deals in antiques from Europe.
352|das|das Buch||Er hat das Buch in einem Rutsch gelesen.|book|He read the book in one go.
353|pron|bisschen, bissel||Ich brauche ein bisschen Hilfe.|a little|I need a little help.
354|adj|deutlich||Die Anweisungen waren deutlich.|clear|The instructions were clear.
355|adv|anders||Es hätte anders laufen können.|different, differently|It could have gone differently.
356|adj|politisch||Die politische Lage spitzt sich zu.|political|The political situation is getting worse.
357|verb|lesen, liest, las, hat gelesen||Ich lese jeden Abend ein Buch.|to read|I read a book every evening.
358|der|der Blick||Der Blick aus dem Fenster war schön.|look, view, glance|The view from the window was beautiful.
359|die|die Form||Die Form des Gebäudes ist sehr modern.|form, shape|The shape of the building is very modern.
360|adj|einzeln||Jedes einzelne Problem fordert Zeit.|individual, single, separately|Every single problem requires time.
361|verb|erreichen, erreicht, erreichte, hat erreicht||Wir müssen das Ziel erreichen.|to achieve, reach|We must reach the goal.
362|verb|vergehen, vergeht, verging, hat vergangen||Die Stunden vergehen heute sehr schnell.|to pass (time)|The hours are passing very quickly today.
363|adj|leicht||Der Koffer war überraschend leicht.|light, easy|The suitcase was surprisingly light.
364|adv|je||Die Teilnehmer zahlen je 20 Euro.|ever, each|The participants pay 20 euros each.
365|conj|je||Je länger, desto schwieriger wird es.|the more|The longer it takes, the more difficult it becomes.
366|verb|verlieren, verliert, verlor, hat verloren||Er verliert oft seinen Schlüssel.|to lose|He often loses his key.
367|adj|beste (r, s)||Er ist der beste Spieler im Team.|best|He is the best player on the team.
368|verb|bilden, bildet, bildete, hat gebildet||Sie bilden eine starke Gruppe.|to form, educate|They form a strong group.
369|der|der Monat||Der Monat Januar ist oft kalt.|month|The month of January is often cold.
370|die|die Lösung||Die Lösung des Rätsels war einfach.|solution|The solution to the puzzle was simple.
371|die|die Sache||Die Sache hat sich leider kompliziert.|thing|Unfortunately, the matter has become complicated.
372|adj|bekannt||Er ist als guter Arzt bekannt.|well-known, famous|He is known as a good doctor.
373|das|das Ziel||Das Ziel war endlich erreicht.|destination, goal|The goal was finally achieved.
374|verb|steigen, steigt, stieg, ist gestiegen||Die Temperaturen steigen im Sommer.|to climb, increase|The temperatures rise in the summer.
375|adv|eher||Ich würde eher zu Hause bleiben.|sooner, earlier, more likely, rather|I would rather stay at home.
376|verb|essen, isst, aß, hat gegessen||Ich habe gestern zu viel gegessen.|to eat|I ate too much yesterday.
377|die|die Minute||Er kam nur fünf Minuten zu spät.|minute|He was only five minutes late.
378|adv|nachts||Nachts ist es hier besonders still.|at night, nights|It is especially quiet here at night.
379|die|die Nacht||Die Nacht war klar und voller Sterne.|night|The night was clear and full of stars.
380|der|der Platz||Der Platz im Park war voll von Menschen.|place, room, square|The place in the park was full of people.
381|adj|schlecht||Das Wetter war heute wirklich schlecht.|bad|The weather was really bad today.
382|das|das Spiel||Das Spiel beginnt um acht Uhr.|game, match|The game begins at eight o'clock.
383|die|die Familie||Die Familie traf sich zum Essen.|family|The family met for dinner.
384|pron|jemand||Jemand hat an der Tür geklopft.|someone, somebody|Someone knocked on the door.
385|pron|dessen||Das ist der Mann, dessen Buch du liest.|whose|That’s the man whose book you’re reading.
386|verb|fallen, fällt, fiel, ist gefallen||Das Blatt ist leise zu Boden gefallen.|to fall|The leaf quietly fell to the ground.
387|num|zehn||Zehn Leute warteten vor der Tür.|ten|Ten people waited in front of the door.
388|der|der Preis||Der Preis für das Haus ist zu hoch.|price, prize|The price for the house is too high.
389|adj|europäisch||Der europäische Markt ist stabil.|European|The European market is stable.
390|adv|sonst||Sonst passiert hier nicht viel.|otherwise|Not much happens here otherwise.
391|der|der Staat||Der Staat investiert in Bildung.|state|The state invests in education.
392|verb|helfen, hilft, half, hat geholfen||Er hilft ihr bei den Hausaufgaben.|to help|He helps her with the homework.
393|der|der Bereich||Der Bereich ist für Kinder gesperrt.|area, region|The area is closed off for children.
394|adj|tatsächlich||Die tatsächliche Ursache erklärt alles.|real, actual|The actual cause explains everything.
395|der|der Ort||Der Ort war ideal für ein Picknick.|place, town, location|The location was ideal for a picnic.
396|adv|abends||Wir treffen uns abends im Park.|in the evening|We meet in the park in the evening.
397|der|der Abend||Der Abend war sehr entspannend.|evening|The evening was very relaxing.
398|adj|einzig||Er ist der einzige, der es kann.|only, single|He is the only one who can do it.
399|die|die Stelle||An dieser Stelle hatte ich einen Unfall.|place|At this place, I had an accident.
400|adj|unterschiedlich||Die Meinungen dazu sind unterschiedlich.|different|Opinions on this matter are different.
401|das|das Gesicht||Sein Gesicht zeigte keine Regung.|face|His face showed no reaction.
402|die|die Entwicklung||Die Entwicklung der Stadt dauert Jahre.|development|The development of the city takes years.
403|die|die Uhr||Die Uhr zeigt fünf Minuten vor zwölf.|clock, watch, o’clock|The clock shows five minutes to twelve.
404|pron|mehrere||Mehrere Leute warteten auf den Bus.|several, multiple, various|Several people were waiting for the bus.
405|verb|schließen, schließt, schloss, hat geschlossen||Er schloss die Tür leise hinter sich.|to close|He quietly closed the door behind him.
406|adv|schließlich||Schließlich hat er zugestimmt.|finally, eventually|Eventually, he agreed.
407|verb|legen, legt, legte, hat gelegt||Er legt das Buch auf den Tisch.|to lay, put|He puts the book on the table.
408|adj|direkt||Der direkte Weg führt durch den Wald.|direct, straight|The direct path leads through the forest.
409|pron|daher||Daher habe ich es doch gemacht.|from, there, therefore|Therefore, I went ahead and did it.
410|adj|offen||Die offene Tür lädt zum Hereinkommen.|open|The open door invites people to come in.
411|verb|erkennen, erkennt, erkannte, hat erkannt||Er erkannte den Fehler sofort.|to recognize, admit|He recognized the mistake immediately.
412|die|die Person||Die Person am Telefon war sehr höflich.|person|The person on the phone was very polite.
413|der|der Moment||Der Moment ist perfekt für ein Foto.|moment|The moment is perfect for a photo.
414|die|die Schule||Die Schule beginnt um acht Uhr.|school|School starts at eight o'clock.
415|pron|darin, drin, drinnen||Darin steckt das Geheimnis ihrer Kraft.|in it, in there, inside|In it lies the secret of her strength.
416|das|das Auto||Das Auto parkte direkt vor dem Haus.|automobile, car|The car parked directly in front of the house.
417|pron|niemand||Niemand wusste, was zu tun war.|no one, nobody|Nobody knew what to do.
418|die|die Gesellschaft||Die Gesellschaft wächst stetig.|society, company|Society is growing steadily.
419|verb|warten, wartet, wartete, hat gewartet||Er wartet ungeduldig auf den Bus.|to wait|He is waiting impatiently for the bus.
420|verb|vorstellen, stellt vor, stellte vor, hat vorgestellt||Er stellt seine Idee der Gruppe vor.|to introduce, imagine|He introduces his idea to the group.
421|adj|früh||Der frühe Vogel fand den Wurm.|early|The early bird found the worm.
422|verb|treten, tritt, trat, hat getreten||Er trat vorsichtig über die Schwelle.|to step|He carefully stepped over the threshold.
423|verb|reden, redet, redete, hat geredet||Sie redeten lange über den Vorfall.|to talk|They talked for a long time about the incident.
424|die|die Gruppe||Die Gruppe arbeitet gut zusammen.|group|The group works well together.
425|das|das Ding||Das Ding auf dem Tisch gehört mir.|thing|The thing on the table belongs to me.
426|part|na||Na, wie war dein Wochenende so?|well|Well, how was your weekend?
427|verb|gewinnen, gewinnt, gewann, hat gewonnen||Er gewann das Spiel im letzten Moment.|to win, gain|He won the game in the last moment.
428|adv|zunächst||Zunächst erklärt er die Regeln.|first, at first, for now|First, he explains the rules.
429|conj|damit||Er ging früh, damit er pünktlich war.|so that|He left early so that he would be on time.
430|die|die Tür||Sie schloss die Tür leise hinter sich.|door|She quietly closed the door behind her.
431|der|der Schritt||Er macht einen großen Schritt nach vorn.|step|He takes a big step forward.
432|verb|entwickeln, entwickelt, entwickelte, hat entwickelt||Das Team entwickelt eine neue Software.|to develop|The team is developing new software.
433|adj|meiste||Die meiste Zeit verbringt er draußen.|most|He spends most of his time outside.
434|die|die Möglichkeit||Die Möglichkeit besteht, zu gewinnen.|possibility, chance|There is a possibility to win.
435|der|der Sinn||Der Sinn des Lebens bleibt ein Rätsel.|sense, meaning|The meaning of life remains a mystery.
436|verb|passieren, passiert, passierte, hat passiert||Der Unfall ist an der Kreuzung passiert.|to take place, happen|The accident happened at the intersection.
