adashmoq[sound:adashmoq_1.mp3]                         |блуждать, заблудиться
hayvon[sound:hayvon_1.mp3]                             |животное, зверь
hayvonot[sound:hayvonot_1.mp3]                         |животные, фауна
hazil[sound:hazil_1.mp3]                               |шутка
hazilkash[sound:hazilkash_1.mp3]                       |шутник, остряк
hazillashmoq[sound:hazillashmoq_1.mp3]                 |шутить, подшучивать, шутить, друг с другом
hasharot[sound:hasharot_1.mp3]                         |насекомое
hech kim[sound:hech_kim_1.mp3]                         |никто
hech narsa[sound:hech_narsa_1.mp3]                     |ничто
hech qachon[sound:hech_qachon_1.mp3]                   |никогда
hid[sound:hid_1.mp3]                                   |запах
hidlamoq[sound:hidlamoq_1.mp3]                         |нюхать, понюхать
hidlanmoq[sound:hidlanmoq_1.mp3]                       |пропахнуть, протухнуть
hidli[sound:hidli_1.mp3]                               |имеющий запах, ароматный
hikoya[sound:hikoya_1.mp3]                             |рассказ
hilpiramoq[sound:hilpiramoq_1.mp3]                     |развеваться, веять, трепетать
himoya qilmoq[sound:himoya_qilmoq_1.mp3]               |защищать
hingillamoq[sound:hingillamoq_1.mp3]                   |хихикать
hisoblamoq[sound:hisoblamoq_1.mp3]                     |считать, посчитать
holat[sound:holat_1.mp3]                               |положение, состояние
holsiz[sound:holsiz_1.mp3]                             |обессиленный, бессильный, слабый
hosil[sound:hosil_1.mp3]                               |урожай
hovli[sound:hovli_1.mp3]                               |двор; дом
hovoncha[sound:hovoncha_1.mp3]                         |ступа, ступка
hovuz[sound:hovuz_1.mp3]                               |хауз, пруд
hovuch[sound:hovuch_1.mp3]                             |пригоршня, горсть
hozir[sound:hozir_1.mp3]                               |сейчас, теперь
hozirgi[sound:hozirgi_1.mp3]                           |современный, настоящий, теперешний, нынешний
hudud[sound:hudud_1.mp3]                               |территория
hunar[sound:hunar_1.mp3]                               |ремесло
hurmat[sound:hurmat_1.mp3]                             |почёт, уважение, почтение, честь
hurmatlamoq[sound:hurmatlamoq_1.mp3]                   |уважать, почитать
hurmatli[sound:hurmatli_1.mp3]                         |почтенный, уважаемый
hurmat qilmoq[sound:hurmat_qilmoq_1.mp3]               |уважать, почитать
husn[sound:husn_1.mp3]                                 |красота, изящество, прелесть
hushtak[sound:hushtak_1.mp3]                           |свист; дудка, свистулька, свисток
hoʻl[sound:ho‘l_1.mp3]                                 |мокрый, влажный, сырой
hoʻllamoq[sound:ho‘llamoq_1.mp3]                       |делать мокрым, мочить, смачивать
hoʻplamoq[sound:ho‘plamoq_1.mp3]                       |глотать
hoʻngramoq[sound:ho‘ngramoq_1.mp3]                     |рыдать, реветь, громко плакать
idish[sound:idish_1.mp3]                               |посуда, посудина, сосуд
iflos[sound:iflos_1.mp3]                               |грязный, загрязнённый, испачканный
ifoda[sound:ifoda_1.mp3]                               |выражение, отражение
iflos qilmoq[sound:iflos_qilmoq_1.mp3]                 |загрязнять, пачкать
ifodalamoq[sound:ifodalamoq_1.mp3]                     |выражать
ifodali[sound:ifodali_1.mp3]                           |выразительный
igna[sound:igna_1.mp3]                                 |игла, иголка
ikkala[sound:ikkala_1.mp3]                             |двое, вдвоём, оба
ikki[sound:ikki_1.mp3]                                 |два
ikkilanmoq[sound:ikkilanmoq_1.mp3]                     |колебаться, сомневаться
ildiz[sound:ildiz_1.mp3]                               |корень
ilgak[sound:ilgak_1.mp3]                               |крючок, зацепка
ilgari[sound:ilgari_1.mp3]                             |раньше, прежде
ilgarilamoq[sound:ilgarilamoq_1.mp3]                   |продвигаться вперёд
ilimoq[sound:ilimoq_1.mp3]                             |теплеть, нагреваться
iliq[sound:iliq_1.mp3]                                 |тёплый, тепло
ilm[sound:ilm_1.mp3]                                   |знание, наука
ilmoq[sound:ilmoq_1.mp3]                               |1. зацеплять, повесить; 2. крючок
ilon[sound:ilon_1.mp3]                                 |змея
iltimos[sound:iltimos_1.mp3]                           |просьба
