of|IO|The color of the car is red.
gal|NN1|She is a smart gal.
ac|NN1|The ac unit broke.
anonymity|NN1|He maintained anonymity.
thereof|RG|The details thereof are clear.
mexican|NN1|He loves Mexican food.
informant|NN1|The informant gave a tip.
twisted|JJ|The plot was twisted.
homer|NN1|He hit a homer.
triple|VV0|They tripled the budget.
razor|NN1|He shaved with a razor.
moral|NN1|The story has a moral.
fax|NN1|She sent a fax.
righteous|JJ|He is a righteous man.
sturdy|JJ|The table is sturdy.
fungus|NN1|Fungus grew on the tree.
baggage|NN1|He checked his baggage.
exacerbate|VV0|The delay exacerbated the problem.
ineffective|JJ|The method was ineffective.
layoff|NN1|The layoff was unexpected.
proceeds|NN1|The proceeds went to charity.
disgust|NN1|She felt disgust at the sight.
extreme|NN1|The extreme was dangerous.
pundit|NN1|The pundit spoke on TV.
setback|NN1|The project faced a setback.
multitude|NN1|A multitude gathered at the square.
woe|NN1|He shared his woe.
respectable|JJ|He has a respectable job.
parenthood|NN1|Parenthood is rewarding.
inflammation|NN1|The inflammation caused pain.
face-to-face|JJ|They had a face-to-face meeting.
aspire|VV0|He aspires to be a doctor.
adult|JJ|The movie is for adult audiences.
hinder|VV0|The rain hindered the work.
authoritarian|JJ|The regime was authoritarian.
finished|JJ|The work is finished.
sync|NN1|The audio was out of sync.
reversal|NN1|The decision was a reversal.
wardrobe|NN1|Her wardrobe is full.
daytime|NN1|He works during the daytime.
implicate|VV0|He was implicated in the crime.
theoretically|RG|Theoretically, it should work.
intercourse|NN1|They had a discussion about human intercourse.
hue|NN1|The sky had a pink hue.
admittedly|RG|Admittedly, it was a mistake.
playing|JJ|The children were playing.
vegan|NN1|She is a vegan.
stuck|JJ|The door is stuck.
shack|NN1|He lives in a shack.
degradation|NN1|The degradation was slow.
jack|NN1|He used a jack to lift the car.
flake|NN1|Snowflakes fell gently.
trooper|NN1|The state trooper was vigilant.
collide|VV0|The cars collided on the highway.
square|VV0|They squared off in the ring.
alleviate|VV0|He took medicine to alleviate the pain.
parsley|NN1|She added parsley to the soup.
intensely|RG|He studied intensely for the test.
delusion|NN1|He suffered from delusions.
stew|NN1|She made a hearty stew.
adaptive|JJ|He is an adaptive learner.
vapor|NN1|The vapor rose from the pot.
liberalism|NN1|He believes in liberalism.
conjure|VV0|The magician conjured a rabbit.
annoy|VV0|The noise annoyed him.
disable|VV0|He disabled the alarm.
engaging|JJ|The book is very engaging.
rebound|VV0|The ball rebounded off the wall.
painted|JJ|The house is freshly painted.
after|RG|She arrived after everyone else.
embargo|NN1|The embargo was lifted.
snapshot|NN1|He took a snapshot of the sunset.
lecture|VV0|The professor lectured on history.
rant|NN1|He went on a rant about politics.
swiftly|RG|She moved swiftly through the crowd.
taliban|JJ|The Taliban forces attacked.
stupidity|NN1|His stupidity cost him dearly.
divorced|JJ|She is a divorced mother of two.
infer|VV0|From the evidence, they inferred guilt.
award-winning|JJ|The book is award-winning.
insistence|NN1|Her insistence paid off.
immerse|VV0|He immersed himself in work.
rugged|JJ|The terrain is rugged.
conserve|VV0|They conserved water during the drought.
pant|VV0|The dog panted after running.
engaged|JJ|They are engaged to be married.
humane|JJ|The treatment was humane.
booster|NN1|The child got a booster shot.
reminiscent|JJ|The painting is reminiscent of Van Gogh.
iranian|NN1|He studies Iranian culture.
mislead|VV0|The sign misled them.
nudge|VV0|He nudged her to wake up.
liner|NN1|The ship was a luxury liner.
ex-wife|NN1|He met his ex-wife at the party.
maverick|NN1|He is a political maverick.
commence|VV0|The meeting commenced at noon.
exemplify|VV0|This case exemplifies the issue.
curb|NN1|She sat on the curb.
imitation|NN1|The bag is an imitation.
humility|NN1|He showed great humility.
preseason|NN1|The team is in preseason training.
marsh|NN1|They crossed the marsh.
co-op|NN1|They live in a co-op.
sweaty|JJ|He was sweaty after the workout.
catalogue|NN1|The catalogue listed all the products.
read|NN1|He gave the report a quick read.
initiation|NN1|The initiation ceremony was grand.
shortcoming|NN1|The plan has some shortcomings.
normative|JJ|This is a normative statement.
cockpit|NN1|The pilot entered the cockpit.
needy|JJ|The charity helps needy families.
reluctance|NN1|She expressed reluctance to join.
polished|JJ|The floors were polished.
railing|NN1|He grabbed the railing for support.
briefcase|NN1|He left his briefcase at work.
best-seller|NN1|The novel is a best-seller.
kitten|NN1|The kitten was playful.
swimmer|NN1|She is a competitive swimmer.
momma|NN1|Her momma is the best cook.
battered|JJ|The house looked battered by the storm.
hesitation|NN1|He agreed without hesitation.
dial|NN1|He turned the dial slowly.
protestant|NN1|He was raised Protestant.
socialize|VV0|They socialized after the meeting.
magician|NN1|The magician amazed the crowd.
goddamn|UH|Goddamn, that was close!
sexist|JJ|His comments were sexist.
humidity|NN1|The humidity was high.
boiling|JJ|The water is boiling hot.
shudder|VV0|She shuddered at the thought.
spill|NN1|The spill was contained quickly.
uh-oh|UH|Uh-oh, we have a problem.
linkage|NN1|The linkage was faulty.
derivative|NN1|The equation was a derivative.
pinpoint|VV0|He pinpointed the issue.
thinly|RG|The bread was thinly sliced.
paperback|NN1|She prefers paperback books.
ordeal|NN1|The ordeal was finally over.
relic|NN1|The relic was ancient.
ornament|NN1|The Christmas ornament was beautiful.
facet|NN1|They explored every facet of the issue.
nervously|RG|She laughed nervously.
graceful|JJ|The dancer was graceful.
listening|JJ|She is a good listening partner.
collective|NN1|They made a collective decision.
enormously|RG|The project grew enormously.
repeat|NN1|He requested a repeat of the song.
scenery|NN1|The scenery was breathtaking.
dominican|JJ|She is of Dominican descent.
grouping|NN1|The grouping was logical.
envy|NN1|He felt envy for his friend.
headlight|NN1|The car's headlight was broken.
hard-working|JJ|She is a hard-working student.
rainfall|NN1|The rainfall was heavy last night.
contour|NN1|The contour of the land was smooth.
cavalry|NN1|The cavalry charged at dawn.
chalk|NN1|He drew with chalk on the sidewalk.
geological|JJ|The geological survey was completed.
fulfillment|NN1|He found fulfillment in teaching.
yeast|NN1|The bread rose with yeast.
mailbox|NN1|He checked the mailbox daily.
protector|NN1|He sees himself as a protector.
slam|NN1|The door closed with a slam.
apocalypse|NN1|The movie depicted an apocalypse.
shelter|VV0|They sheltered from the storm.
inflate|VV0|She inflated the balloon.
affiliate|VV0|The company affiliates with many brands.
mingle|VV0|They mingled at the party.
sexism|NN1|Sexism in the workplace is an issue.
shiite|JJ|The conflict involved Shiite groups.
inconsistency|NN1|There was an inconsistency in the report.
alphabet|NN1|The child learned the alphabet.
stylish|JJ|Her outfit was stylish.
black-and-white|JJ|The photo was black-and-white.
fm|NN1|She listens to FM radio.
nonfiction|NN1|He prefers nonfiction books.
harness|VV0|He harnessed the power of the wind.
fasten|VV0|She fastened her seatbelt.
lightweight|JJ|The material is lightweight.
acknowledgment|NN1|He received an acknowledgment letter.
denomination|NN1|The bill was of a high denomination.
longevity|NN1|His longevity in the company is notable.
displacement|NN1|The displacement caused problems.
marxist|JJ|He follows Marxist theories.
heightened|JJ|There was heightened tension in the room.
man|VV0|He manned the controls.
moderately|RG|The sauce was moderately spicy.
augment|VV0|They augmented the budget.
outnumber|VV0|The attackers outnumbered the defenders.
deacon|NN1|The deacon gave the sermon.
interruption|NN1|There was an interruption in the broadcast.
ion|NN1|An ion has an electric charge.
cosmetic|JJ|She bought cosmetic products.
confidentiality|NN1|The contract ensures confidentiality.
procession|NN1|The procession moved slowly.
dane|NN1|He is a Dane by birth.
memorandum|NN1|The office issued a memorandum.
rum|NN1|He drank a glass of rum.
confide|VV0|She confided in her friend.
polish|NN1|He applied polish to the wood.
salty|JJ|The soup was too salty.
tar|NN1|The road was paved with tar.
autograph|NN1|She asked for his autograph.
intimidating|JJ|The boss was intimidating.
crib|NN1|The baby slept in the crib.
plainly|RG|She spoke plainly.
metallic|JJ|The taste was metallic.
fuss|NN1|She made a fuss over nothing.
divisive|JJ|The issue was divisive.
cleric|NN1|The cleric led the prayer.
dispatch|NN1|They received the dispatch yesterday.
ominous|JJ|The sky looked ominous.
outpost|NN1|The outpost was well-defended.
boob|NN1|She fed the baby with her boob.
slut|NN1|The word "slut" is derogatory.
windy|JJ|It was a windy day.
salvage|VV0|They salvaged what they could.
decision-making|JJ|Decision-making is vital in tough situations.
police|NN2|The police are on duty.
presumption|NN1|His presumption was incorrect.
asphalt|NN1|The asphalt is hot today.
rake|VV0|I rake leaves every autumn.
centerpiece|NN1|The centerpiece is stunning.
bilingual|JJ|Being bilingual is an advantage.
vet|VV0|They vet the applicants carefully.
purchasing|NN1|His purchasing habits are unusual.
shitty|JJ|It was a shitty day.
long-distance|JJ|A long-distance call can be expensive.
dawn|VV0|They dawn their new outfits.
handkerchief|NN1|The handkerchief is embroidered.
captive|NN1|The captive escaped at night.
bound|VVN|He is bound by a promise.
puddle|NN1|The puddle is growing.
mediator|NN1|The mediator was impartial.
paramedic|NN1|The paramedic arrived quickly.
overhead|JJ|The overhead lights are bright.
chic|JJ|She wore a chic outfit.
eyelid|NN1|His eyelid twitched nervously.
bidding|NN1|The bidding ended suddenly.
fireman|NN1|The fireman saved the child.
excerpt|VV0|She excerpted a paragraph.
hymn|NN1|The hymn is uplifting.
kill|NN1|A single kill was made.
islamist|NN1|The islamist spoke passionately.
vicinity|NN1|In the vicinity, there was silence.
ceremonial|JJ|The ceremonial robe was worn.
grate|VV0|I grate cheese for pasta.
striped|JJ|He wore a striped shirt.
metrics|NN2|The metrics are accurate.
underwater|RL|The treasure lies underwater.
dart|NN1|The dart hit the bullseye.
trim|NN1|The trim is precise.
mentor|VV0|She will mentor new employees.
fetal|JJ|The fetal position is common.
cherokee|JJ|He studies Cherokee culture.
immature|JJ|His behavior was immature.
swarm|VV0|Bees swarm around flowers.
aerospace|NN1|Aerospace technology is advanced.
iceberg|NN1|The iceberg was massive.
brownie|NN1|She baked a brownie.
amuse|VV0|Jokes always amuse her.
bullpen|NN1|The bullpen is crowded.
snag|VV0|I snagged my sweater.
espouse|VV0|They espouse new ideas.
staggering|JJ|The staggering cost shocked everyone.
clueless|JJ|He was clueless about the topic.
rearrange|VV0|Please rearrange the books.
favourite|JJ|That’s my favourite song.
fanatic|NN1|The fanatic cheered loudly.
stale|JJ|The bread is stale.
dearly|RG|He dearly loved his family.
homage|NN1|The movie is an homage.
norwegian|JJ|She enjoys Norwegian music.
orbital|JJ|The orbital path is stable.
hideous|JJ|The dress was hideous.
daring|JJ|It was a daring move.
borrowing|NN1|His borrowing increased.
pineapple|NN1|I sliced the pineapple.
irritation|NN1|The irritation grew worse.
luxurious|JJ|The luxurious car is beautiful.
upbeat|JJ|Her mood is upbeat.
operative|JJ|The operative plan succeeded.
magnify|VV0|The lens will magnify the image.
accreditation|NN1|The school has accreditation.
affirmation|NN1|His affirmation was clear.
hmmm|UH|Hmmm, that’s interesting.
ceramics|NN2|She collects ceramics.
ancestry|NN1|His ancestry is noble.
audition|VV0|She will audition tomorrow.
royal|NN1|The royal visited today.
unnoticed|JJ|His work went unnoticed.
springer|NN1|The springer ran fast.
scarcity|NN1|The scarcity of water is alarming.
academically|RG|He excels academically.
determinant|NN1|The key determinant is cost.
wallpaper|NN1|The wallpaper is peeling.
timetable|NN1|The timetable was updated.
monologue|NN1|The monologue was intense.
skew|VV0|Don't skew the results.
predicament|NN1|The predicament was tricky.
unpack|VV0|I need to unpack my bags.
tone|VV0|Please tone down your voice.
enlightened|JJ|The enlightened leader spoke wisely.
bitterly|RG|He bitterly complained.
hide|NN1|He found the perfect hide.
comb|NN1|The comb broke in half.
bipolar|JJ|She has bipolar disorder.
caretaker|NN1|The caretaker was kind.
lawful|JJ|It was a lawful order.
following|NN1|The following is important.
statesman|NN1|The statesman spoke eloquently.
intimately|RG|They were intimately connected.
tabloid|NN1|The tabloid published lies.
acorn|NN1|The squirrel found an acorn.
weed|VV0|I weed the garden weekly.
chile|NN1|Chile is a long country.
knowingly|RG|She knowingly lied.
socialist|NN1|The socialist campaigned passionately.
volatility|NN1|The market’s volatility is high.
sly|JJ|The sly fox escaped.
biopsy|NN1|The biopsy was clear.
penetration|NN1|The penetration was deep.
