|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en|sentence_lemmatized_de
68.001|50|prep|vor||Vor der Analyse sollten alle Variablen kontrolliert werden.|in front of, before, ago|before|All variables should be controlled before the analysis.|preposition|Laura wartet vor der Tür auf ihre Freunde.|Laura is waiting in front of the door for her friends.|vor;der;Analyse;sollen;aller;Variabl;kontrollieren;werden
68.002|50|prep|vor||Vor drei Jahren reisten wir zum ersten Mal nach Paris.|in front of, before, ago|ago|We traveled to Paris for the first time three years ago.|preposition|Laura wartet vor der Tür auf ihre Freunde.|Laura is waiting in front of the door for her friends.|vor;drei;Jahr;reisen;wir;zu;erster;Mal;nach;Paris
69|51|pron|mein||Mein Bruder arbeitet als Ingenieur in Berlin.|my, mine|my|My brother works as an engineer in Berlin.|pronoun|Anna ist meine kleine Schwester.|Anna is my little sister.|mein;Bruder;arbeiten;als;Ingenieur;in;Berlin
69.001|51|pron|mein||Das ist nicht dein Buch, sondern es ist mein.|my, mine|mine|That is not your book; it is mine.|pronoun|Anna ist meine kleine Schwester.|Anna is my little sister.|der;sein;nicht;dein;Buch;sondern;es;sein;mein
70|52|adv|mehr||Die Zellen benötigen mehr Energie zur Regeneration.|more|more|The cells need more energy for regeneration.|adverb|Ich habe Hunger und möchte mehr Brot.|I’m hungry and want more bread.|der;Zelle;benötigen;mehr;Energie;zu;Regeneration
71|53|das|das Jahr|die Jahre|Das Jahr verging schneller als erwartet.|year|year|The year passed faster than expected.|noun|Ein Jahr hat 52 Wochen.|A year has 52 weeks.|der;Jahr;vergehen;schnell;als;erwarten
72|54|pron|du||Du bist der Einzige, der diese Aufgabe übernehmen kann.|you|you|You are the only one who can take on this task. |pronoun|Wer bist du?|Who are you?|du;sein;der;einzige;der;dieser;Aufgabe;übernehmen;können
73|55|prep|durch||Der Strom floss ruhig durch den alten Kanal.|through|through|The stream flowed gently through the old canal.|preposition|Ralf läuft durch die Stadt.|Ralf walks through the city.|der;Strom;floss;ruhig;durch;der;alt;Kanal
74|56|pron|viel||Er hat viel über die Kunstszene gelernt.|much, a lot, many|much|He has learned much about the art scene.|pronoun|Ich gebe im Urlaub viel Geld aus.|I spend a lot of money on vacation.|er;haben;viel;über;der;Kunstszene;lernen
74.001|56|pron|viel||Er hat viel erreicht, trotz aller Hindernisse.|much, a lot, many|a lot|He has achieved a lot, despite all the obstacles.|pronoun|Ich gebe im Urlaub viel Geld aus.|I spend a lot of money on vacation.|er;haben;viel;erreichen;trotz;aller;Hindernis
74.002|56|pron|viel||Es gibt hier viel zu entdecken und zu erleben.|much, a lot, many|many|There are many things to discover and experience here.|pronoun|Ich gebe im Urlaub viel Geld aus.|I spend a lot of money on vacation.|es;geben;hier;viel;zu;entdecken;und;zu;erleben
75|57|verb|wollen|wollen, will, wollte, hat gewollt|Sie wollen bald eine Reise nach Japan machen.|to want to|to want to|They want to take a trip to Japan soon.|verb|Die Kinder wollen spielen.|The children want to play.|sie;wollen;bald;ein;Reise;nach;Japan;machen
76|58|verb|machen|machen, macht, machte, hat gemacht|Er wollte etwas Besonderes für sie machen.|to do, make|to do|He wanted to do something special for her.|verb|Die Schüler machen ihre Aufgaben.|The students do their tasks.|er;wollen;etwas;Besonderes;für;sie;machen
76.001|58|verb|machen|machen, macht, machte, hat gemacht|Er wollte einen Unterschied machen und die Dinge verändern.|to do, make|to make|He wanted to make a difference and change things.|verb|Die Schüler machen ihre Aufgaben.|The students do their tasks.|er;wollen;ein;Unterschied;machen;und;der;Ding;verändern
77|59|pron|andere|andere, anderer, anderes|Andere Zellen im Körper reagieren unterschiedlich auf Viren.|other|other|Other cells in the body react differently to viruses.|pronoun|Es gibt noch einen anderen Weg zum Bahnhof.|There’s another way to the station.|anderer;Zelle;in;Körper;reagieren;unterschiedlich;auf;Viro
78|60|verb|sollen|sollen, soll, sollte, hat gesollt|Wir sollten sicherstellen, dass alles korrekt ist.|should, ought to|to should|We should ensure everything is correct. |verb|Ihr sollt in der Bibliothek leise sein.|You should be quiet in the library.|wir;sollen;sicherstellen;dass;alle;korrekt;sein
78.001|60|verb|sollen|sollen, soll, sollte, hat gesollt|Wir sollen das Projekt bis Freitag abschließen.|should, ought to|to ought to|We ought to finish the project by Friday.|verb|Ihr sollt in der Bibliothek leise sein.|You should be quiet in the library.|wir;sollen;der;Projekt;bis;Freitag;abschließen
79|61|adv|schon||Ich habe das Buch schon zweimal gelesen.|already|already|I have already read the book twice.|adverb|Günter arbeitet schon seit 30 Jahren hier.|Günter has been working here for 30 years now.|ich;haben;der;Buch;schon;zweimal;lesen
80|61|part|schon||Das Mittagessen ist schon fertig, du kannst kommen.|||The lunch is already ready, you can come.|particle|Die Karten für das Theater sind schon sehr teuer.|The tickets for the theater are really expensive.|der;Mittagessen;sein;schon;fertig;du;kannen;kommen
81|62|verb|kommen|kommen, kommt, kam, ist gekommen|Wann wirst du endlich zu mir nach Hause kommen?|to come|to come|When will you finally come to my house?|verb|Wir kommen morgen Abend zu dir.|We’ll come to your place tomorrow night.|wann;wirst;du;endlich;zu;mir;nach;Haus;kommen
82|63|pron|mir||Du kannst mir helfen, den Tisch zu decken, wenn du möchtest.|me|me|You can help me set the table if you want.|pronoun|Gibst du mir dein Fahrrad?|Are you giving me your bike?|du;kannst;mir;helfen;der;Tisch;zu;decken;wenn;du;möchteen
83|64|adv|immer||Er ist immer pünktlich und zeigt viel Engagement.|always|always|He is always punctual and shows a lot of commitment.|adverb|Zum Frühstück esse ich immer eine Scheibe Brot.|I always have a slice of bread for breakfast.|er;sein;immer;pünktlich;und;zeigen;viel;Engagement
84|65|pron (relexive, in accusative case)|mich||Er bat mich, ihm bei der schwierigen Entscheidung zu helfen.|||He asked me to help him with the difficult decision.|pronoun|Nach der Schule lege ich mich immer kurz ins Bett.|After school I always lie down in bed for a while.|er;bitten;mich;ihm;bei;der;schwierig;Entscheidung;zu;helfen
85|65|pron|mich||Er hat mich überrascht, indem er einfach so auftauchte.|me|me|He surprised me by showing up just like that.|pronoun|Timo setzt sich neben mich an den Tisch.|Timo sits down next to me at the table.|er;haben;mich;überraschen;indem;er;einfach;so;auftauchen
86|66|verb|gehen|gehen, geht, ging, ist gegangen|Wir gehen morgen zum Konzert, willst du mitkommen?|to go|to go|We're going to the concert tomorrow, do you want to join?|verb|Wir gehen heute ins Theater.|We’re going to the theater today.|wir;gehen;morgen;zu;Konzert;willst;du;mitkommen
87|67|adj|groß||Die Statue in der Mitte des Platzes ist sehr groß.|big, large, great|big|The statue in the middle of the square is very big.|adjective|Florian hat eine große Wohnung.|Florian has a big apartment.|der;Statue;in;der;Mitte;der;Platz;sein;sehr;groß
87.001|67|adj|groß||Der Park hat eine große Grünfläche für Kinder.|big, large, great|large|The park has a large green area for children.|adjective|Florian hat eine große Wohnung.|Florian has a big apartment.|der;Park;haben;ein;groß;Grünfläche;für;Kind
87.002|67|adj|groß||Es war ein großer Erfolg, die Ausstellung zu eröffnen.|big, large, great|great|It was a great success to open the exhibition.|adjective|Florian hat eine große Wohnung.|Florian has a big apartment.|es;sein;ein;groß;Erfolg;der;Ausstellung;zu;eröffnen
88|68|adv|hier||Die Veranstaltung findet hier im Park statt.|here|here|The event is taking place here in the park.|adverb|Hier ist mein Zimmer.|Here is my room.|der;Veranstaltung;stattfinden;hier;in;Park;statt
89|69|adj|ganz||Sie hat das ganze Haus alleine dekoriert.|whole, all the|whole|She decorated the whole house by herself.|adjective|Das ganze Zimmer ist leer.|The whole room is empty.|sie;haben;der;ganz;Haus;alleine;dekorieren
89.001|69|adj|ganz||Er hat den ganzen Kuchen alleine gegessen.|whole, all the|all the|He ate all the cake by himself.|adjective|Das ganze Zimmer ist leer.|The whole room is empty.|er;haben;der;ganz;Kuchen;alleine;gessen
90|69|part|ganz||Der Film war ganz anders als erwartet und sehr spannend.|quite|quite|The movie was quite different from expected and very exciting.|particle|Er löst die Aufgabe ganz gut.|He’s solving the task quite well.|der;Film;sein;ganz;anders;als;erwarten;und;sehr;spannend
91|70|num|zwei||Wir haben zwei Tickets für das Konzert bekommen.|two|two|We got two tickets for the concert.|number|Anna hat zwei Schwestern, Tina und Sarah.|Anna has two sisters, Tina and Sarah.|wir;haben;zwei;Ticket;für;der;Konzert;bekommen
92|71|adv|also||Also, was soll ich jetzt tun, um weiterzumachen?|so|so|So, what should I do now to proceed?|adverb|Das ist also der neue Schüler.|So, this is the new student.|also;was;sollen;ich;jetzt;tun;um;weitermachen
93|72|adv|jetzt||Jetzt müssen wir uns beeilen, sonst verpassen wir den Zug.|now|now|Now we need to hurry, or we will miss the train.|adverb|Wir müssen jetzt ins Bett.|We have to go to bed now.|jetzt;müssen;wir;sich;beeilen;sonst;verpassen;wir;der;Zug
94|73|adv|doch||Das Wetter war schlecht, doch wir gingen trotzdem spazieren.|however, but|however|The weather was bad, however, we still went for a walk.|adverb|Heute scheint die Sonne, doch ich bleibe zu Hause.|Today the sun is shining, but I’m staying at home.|der;Wetter;sein;schlecht;doch;wir;spazierengehen;trotzdem;spazieren
94.001|73|adv|doch||Es war spät, doch die Straße war immer noch belebt.|however, but|but|It was late, but the street was still busy.|adverb|Heute scheint die Sonne, doch ich bleibe zu Hause.|Today the sun is shining, but I’m staying at home.|es;sein;spät;doch;der;Straße;sein;immer;noch;beleben
95|73|part|doch||Ich habe keine Lust zu kochen, aber ich werde es doch tun.|||I don’t feel like cooking, but I’ll do it anyway.|particle|Er kommt doch nicht zum Spiel.|He’s not coming to the game after all.|ich;haben;kein;Lust;zu;kochen;aber;ich;werden;es;doch;tun
96|74|adv|wieder||Er hat es wieder getan, obwohl er es versprochen hatte.|again|again|He did it again, even though he promised not to.|adverb|Lea kommt wieder zu spät.|Lea’s late again.|er;haben;es;wieder;tun;obwohl;er;es;versprechen;haben
97|75|pron|uns||Es tut mir leid, dass ihr uns nicht begleiten könnt.|us, we|us|I’m sorry that you can’t join us.|pronoun|Katharina besucht Max und mich, wir freuen uns darauf.|Katharina is visiting Max and me, we are looking forward to it.|es;tun;mir;leid;dass;ihr;uns;nicht;begleiten;können
97.001|75|pron|uns||Sie hat uns eine Einladung zur Hochzeit geschickt.|us, we|we|She sent us an invitation to the wedding.|pronoun|Katharina besucht Max und mich, wir freuen uns darauf.|Katharina is visiting Max and me, we are looking forward to it.|sie;haben;uns;ein;Einladung;zu;Hochzeit;schicken
98|76|adj|gut||Das Essen schmeckte gut, aber der Service war etwas langsam.|good|good|The food tasted good, but the service was a bit slow.|adjective|Die Blumen riechen gut.|The flowers smell good.|der;Essen;schmecken;gut;aber;der;Service;sein;etwas;langsam
99|77|conj|bis||Wir müssen warten, bis der Regen aufhört.|until|until|We have to wait until the rain stops.|conjunction|Ich warte hier, bis er kommt.|I’ll wait here until he comes.|wir;müssen;warten;bis;der;Regen;aufhören
100|77|prep|bis||Der Film dauert bis Mitternacht, und wir müssen los.|until, till|until|The movie lasts until midnight, and we have to go.|preposition|Meine Mutter arbeitet bis sieben Uhr.|My mother works until seven o’clock.|der;Film;dauern;bis;Mitternacht;und;wir;losmüssen;los
100.001|77|prep|bis||Die Umfrage lief bis zum Ende der Woche.|until, till|till|The survey ran till the end of the week.|preposition|Meine Mutter arbeitet bis sieben Uhr.|My mother works until seven o’clock.|der;Umfrage;laufen;bis;zu;Ende;der;Woche
101|78|verb|wissen|wissen, weiß, wusste, hat gewusst|Wissen Sie, wie sich diese Variablen im Modell verhalten?|to know|to know|Do you know how these variables behave in the model?|verb|Max weiß viel und ist gut in der Schule.|Max knows a lot and is good at school.|wissen;sie;wie;sich;dieser;Variabl;in;Modell;verhalten
102|79|verb|sehen|sehen, sieht, sah, hat gesehen|Ich konnte die Moleküle unter dem Mikroskop sehen.|to see|to see|I could see the molecules under the microscope.|verb|Seit er die neue Brille hat, kann er besser sehen.|Since he got the new glasses, he can see better.|ich;können;der;Molekül;unter;der;Mikroskop;sehen
103|80|pron|einer||Einer von uns muss den ersten Schritt tun.|(some)one|(some)one|One of us has to take the first step.|pronoun|Dieses Problem ist nur eines von vielen.|This problem is only one of many.|einer;von;uns;muss;der;erster;Schritt;tun
104|81|adv|sehr||Der Test war sehr schwierig, und ich habe es kaum geschafft.|very|very|The test was very difficult, and I barely managed it.|adverb|Sie ist eine sehr gute Ärztin.|She’s a very good doctor.|der;Test;sein;sehr;schwierig;und;ich;haben;es;kaum;schaffen
105|82|conj|mal||Ich habe es schon mal versucht, aber es hat nicht geklappt.|times|times|I’ve tried it before, but it didn’t work.|conjunction|Ein mal eins ist eins.|One times one equals one.|ich;haben;es;schon;mal;versuchen;aber;es;haben;nicht;klappen
106|82|das|das Mal|die Male|Das war das erste Mal, dass ich in Berlin war.|time, mark|time|That was the first time I was in Berlin.|noun|Maria hat ein dunkles Mal auf ihrer Haut.|Maria has a dark mark on her skin.|der;sein;der;erster;Mal;dass;ich;in;Berlin;sein
106.001|82|das|das Mal|die Male|Das Mal, als ich das erste Mal reiste, war unvergesslich.|time, mark|mark|The time when I traveled for the first time was unforgettable.|noun|Maria hat ein dunkles Mal auf ihrer Haut.|Maria has a dark mark on her skin.|der;Mal;als;ich;der;erster;Mal;reisen;sein;unvergesslich
107|82|part|mal||Komm mal her und hilf mir mit diesen Kisten.|||Come here just a moment and help me with these boxes.|particle|Meine Freundin Veronika hat mal im Ausland gearbeitet.|My friend Veronika once worked abroad.|herKomm;mal;her;und;hilf;mir;mit;dieser;Kiste
108|83|verb|lassen|lassen, lässt, ließ, hat gelassen|Ich lasse meinen Bruder die Koffer tragen.|to let, allow, have done|to let|I let my brother carry the suitcases.|verb|Lass mich gehen!|Let me go!|ich;lassen;mein;Bruder;der;Koffer;tragen
108.001|83|verb|lassen|lassen, lässt, ließ, hat gelassen|Er ließ mich die ganze Zeit allein arbeiten.|to let, allow, have done|to allow|He allowed me to work alone the whole time.|verb|Lass mich gehen!|Let me go!|er;lassen;mich;der;ganz;Zeit;allein;arbeiten
108.002|83|verb|lassen|lassen, lässt, ließ, hat gelassen|Sie ließ die Arbeit von einem Experten erledigen.|to let, allow, have done|to have done|She had the work done by an expert.|verb|Lass mich gehen!|Let me go!|sie;lassen;der;Arbeit;von;ein;Experte;erledigen
109|84|adj|neu||Das neue Restaurant hat ein innovatives Menü.|new|new|The new restaurant has an innovative menu.|adjective|Ich habe eine neue Tasche, weil die alte kaputt ist.|I got a new bag because the old one’s broken.|der;neu;Restaurant;haben;ein;innovativ;Menü
110|85|verb|stehen|stehen, steht, stand, hat gestanden|Er stand lange am Fenster und schaute nach draußen.|to stand|to stand|He stood by the window for a long time, looking outside.|verb|Die Fahrräder stehen im Keller.|The bicycles stand in the cellar.|er;stehen;lange;an;Fenster;und;schauen;nach;draußen
